State,Month_Year,aggravated_assault_count,homicide_count,rape_count,robbery_count,Month,Year,population_count,violent_crime_count,aggravated_assault_rate,homicide_rate,rape_rate,robbery_rate,violent_crime_rate
United States,01-1988,56906,1523,5770,41951,01,1988,244498983,106150,23.27453443845204,0.6229064764657937,2.3599280165513,17.157944579262317,43.41531351073146
United States,02-1988,55361,1344,5786,38151,02,1988,244498983,100642,22.64262996954879,0.5496955379973911,2.3664720110512687,15.603745885519697,41.162543404117145
United States,03-1988,62759,1431,6304,38830,03,1988,244498983,109324,25.668409426471932,0.5852785080909723,2.5783338329877634,15.88145665211213,44.71347841966279
United States,04-1988,64432,1422,6297,34702,04,1988,244498983,106853,26.352665851374933,0.5815975111847398,2.575470835394027,14.19310607112014,43.70284026907384
United States,05-1988,71849,1439,7160,36538,05,1988,244498983,116986,29.386216301766787,0.5885505053409568,2.9284375387361017,14.944029439991578,47.84723378583542
United States,06-1988,72007,1417,6891,36447,06,1988,244498983,116762,29.45083824745398,0.5795525129034995,2.818416631205374,14.906810471273003,47.755617862835855
United States,07-1988,77936,1676,7805,40333,07,1988,244498983,127750,31.875797209348722,0.6854834238717468,3.1922423170161,16.49618313545296,52.24970608568953
United States,08-1988,77844,1744,7658,41980,08,1988,244498983,129226,31.838169240973897,0.7132954004966148,3.1321193675476353,17.169805569293512,52.85338957831166
United States,09-1988,71130,1635,6993,41840,09,1988,244498983,121598,29.092145548924428,0.6687144379655764,2.860134596142676,17.112545617418785,49.733540200451465
United States,10-1988,66705,1651,6511,43983,10,1988,244498983,118850,27.28232207002677,0.6752584324655453,2.6629967618311112,17.989031880758375,48.609609145081805
United States,11-1988,58863,1517,5832,43168,11,1988,244498983,109380,24.074946765729493,0.6204524785283054,2.3852859952386796,17.65569716091621,44.73638240041269
United States,12-1988,60087,1682,5244,45482,12,1988,244498983,112495,24.575562344977115,0.6879374218092351,2.144794197364821,18.602122365474216,46.010416329625386
United States,01-1989,63503,1591,6004,46066,01,1989,246819230,117164,25.728546353539794,0.6446013140872371,2.4325495221745888,18.66386180687785,47.469558996679474
United States,02-1989,55778,1389,5154,38828,02,1989,246819230,101149,22.598725391048337,0.5627600410227355,2.088167927596241,15.731351240338933,40.981004600006244
United States,03-1989,79860,1770,7252,50587,03,1989,246819230,139469,32.35566369767866,0.7171240263572656,2.9381827339790343,20.495566735217512,56.50653719323247
United States,04-1989,68914,1549,6688,38113,04,1989,246819230,115264,27.92083906914384,0.6275848117668951,2.709675417105871,15.441665546075969,46.69976484409258
United States,05-1989,74842,1528,6949,39645,05,1989,246819230,122964,30.32259682521496,0.6190765606067242,2.8154208243822816,16.0623627259513,49.819456936155255
United States,06-1989,87749,1823,8128,48722,06,1989,246819230,146422,35.55193005018288,0.73859723166626845,3.293098353803308,19.7399530012309,59.323578636883354
United States,07-1989,81040,1765,8076,43804,07,1989,246819230,134685,32.83374638191684,0.7150982522715107,3.2720303033114555,17.747401610482296,54.5682765479821
United States,08-1989,77146,1758,7704,44465,08,1989,246819230,131073,31.256073523930855,0.7122621685514536,3.121312711331285,18.015208944619104,53.104857348432695
United States,09-1989,87348,1952,8045,53848,09,1989,246819230,151193,35.38946296850533,0.7908622030787472,3.259470503979775,21.816776593946916,61.25657226951077
United States,10-1989,75588,1714,7017,47834,10,1989,246819230,132153,30.624842318809602,0.6944353565968098,2.8429713519485493,19.380175523600816,53.54242455095577
United States,11-1989,65864,1638,6563,46390,11,1989,246819230,120455,26.6851168768333,0.6636435904933339,2.659031064961997,18.795131967634774,48.80292349992341
United States,12-1989,104567,2378,9134,71706,12,1989,246819230,187785,42.36582376502835,0.963458155185072,3.7006840998572113,29.052031318629428,76.08199733870008
United States,01-1990,74872,1816,7216,55208,01,1990,249622814,139112,29.99405334802451,0.727497607650557,2.8907614189462665,22.116568239632137,55.72888061425348
United States,02-1990,67744,1599,6320,46081,02,1990,249622814,121744,27.138545117114177,0.6405664507892296,2.5318198680349786,18.460251794132887,48.77118323007127
United States,03-1990,79070,1800,7474,49297,03,1990,249622814,137641,31.675790659102173,0.7210879370985699,2.994117356597062,19.748595575082334,55.13959152788014
United States,04-1990,82721,1655,7588,45440,04,1990,249622814,137404,33.138397358183774,0.6630002977211851,3.039786259279971,18.203464367643896,55.04464828282883
United States,05-1990,91626,1843,8529,48257,05,1990,249622814,150255,36.7057796247742,0.7383139267070357,3.4167550086187233,19.33196698920316,60.19281554930311
United States,06-1990,95314,1911,8414,48724,06,1990,249622814,154363,38.183208687007266,0.7655550265529816,3.3706855015263146,19.519049248439288,61.83849846352586
United States,07-1990,101585,2163,8998,53528,07,1990,249622814,166274,40.69539893897679,0.8665073377467815,3.604638476673851,21.44355283167347,66.61009758507089
United States,08-1990,94252,2086,8803,55184,08,1990,249622814,160325,37.757766804119115,0.8356607982153427,3.5265206168215055,22.106953733804154,64.22690195296012
United States,09-1990,89960,2055,8538,54014,09,1990,249622814,154567,36.03837267854853,0.8232420615208672,3.4203604483042165,21.638246574690083,61.920221763063694
United States,10-1990,82722,1952,7848,56006,10,1990,249622814,148528,33.13879796259328,0.7819798073424491,3.143943405749764,22.436250558412503,59.50097173409799
United States,11-1990,73573,1690,7125,54134,11,1990,249622814,136522,29.47366822008504,0.6770214520536573,2.8543064176818387,21.68631910382999,54.691315193650524
United States,12-1990,86163,2200,7544,62001,12,1990,249622814,157908,34.51727773568004,0.8813297008982521,3.0221596652620057,24.83787399336024,63.25864109520054
United States,01-1991,68789,1845,6662,57402,01,1991,252980941,134698,27.191376444441325,0.7293039517945346,2.633399960355116,22.690246851441664,53.244327208032644
United States,02-1991,65457,1600,6483,49635,02,1991,252980941,123175,25.874281177569024,0.6324587115833362,2.5626436419967304,19.62005509339931,48.689438624548394
United States,03-1991,79436,1833,7696,54162,03,1991,252980941,143127,31.399993883333682,0.7245605114576595,3.0421264027158474,21.40951796048541,56.57619875799261
United States,04-1991,79733,1788,7581,48894,04,1991,252980941,137996,31.51739403167134,0.7067726101943782,2.996668432820795,19.327147652597276,54.54798272728379
United States,05-1991,89145,1857,8391,50999,05,1991,252980941,150392,35.23783240256032,0.7340473921314096,3.3168506555598594,20.159226145024103,59.447956595275684
United States,06-1991,95310,2028,8780,53065,06,1991,252980941,159183,37.67477487562986,0.8016414169318786,3.4706171798135577,20.975888456356085,62.922921928731384
United States,07-1991,95162,2108,8685,55488,07,1991,252980941,161443,37.6162724448084,0.8332643525110456,3.4330649438132967,21.933668117710102,63.81626985884285
United States,08-1991,97215,2134,8887,58501,08,1991,252980941,166737,38.42779602910877,0.8435418065742747,3.5129128561506935,23.12466692896047,65.90891762079421
United States,09-1991,92457,2062,8454,57638,09,1991,252980941,160611,36.54702193553782,0.8150811645530245,3.341753717328453,22.78353451140021,63.487391328819506
United States,10-1991,83942,1962,7912,60273,10,1991,252980941,154089,33.18115572983026,0.7755524950790661,3.127508328779598,23.825114952039016,60.909331505727934
United States,11-1991,74737,1770,7157,57420,11,1991,252980941,141084,29.542541704752374,0.6996574496890656,2.829066874251211,22.69736201194698,55.768628040639626
United States,12-1991,128461,2967,10865,73405,12,1991,252980941,215698,50.77892409294185,1.1728156232923492,4.294789938345593,29.016019827359244,85.26254948193905
United States,01-1992,76439,1813,6834,58455,01,1992,256514224,143541,29.799127240600892,0.7067834179830901,2.664179745447566,22.788209982460856,55.95830038649241
United States,02-1992,76083,1667,7356,52043,02,1992,256514224,137149,29.66034351373825,0.649866496292229,2.867677232588864,20.28854353121564,53.46643077383498
United States,03-1992,87346,1916,8746,54959,03,1992,256514224,152967,34.05113316445173,0.7469371367102045,3.4095575144402126,21.425322597315304,59.63295041291745
United States,04-1992,89579,1778,8173,50446,04,1992,256514224,149976,34.921650192778394,0.693138950454459,3.186178088900053,19.66596596998067,58.46693320211357
United States,05-1992,95305,1866,8613,51167,05,1992,256514224,156951,37.15388508046244,0.7274450402407314,3.3577085378314147,19.947042001070475,61.186080659605054
United States,06-1992,96801,1839,8888,53572,06,1992,256514224,161100,37.73708860682907,0.716919308147216,3.4649150684135157,20.884611841252124,62.80353482464193
United States,07-1992,96972,2048,9048,54461,07,1992,256514224,162529,37.80375157675467,0.798396271389613,3.5272897771158296,21.231181316479354,63.36061894173946
United States,08-1992,94039,2018,9187,55510,08,1992,256514224,160754,36.660345197855385,0.7867010135079293,3.5814778053009646,21.640125500408896,62.66864951707318
United States,09-1992,92692,2018,8805,55779,09,1992,256514224,159294,36.13522811896778,0.7867010135079293,3.4325581882741907,21.74499297941466,62.099480300164565
United States,10-1992,87706,1784,8003,56422,10,1992,256514224,153915,34.19147625903194,0.6954780020307957,3.1199049609038445,21.995661340012084,60.00252056197866
United States,11-1992,77660,1792,7323,53854,11,1992,256514224,140629,30.275124236385427,0.6985967374659114,2.854812448919012,20.994547265339953,54.823080688110295
United States,12-1992,109759,2477,9536,65904,12,1992,256514224,187676,42.788660327857684,0.9656384590976913,3.717532638657886,25.692142514482942,73.16397394009621
United States,01-1993,79485,1864,6727,55720,01,1993,259918588,143796,30.58072937823131,0.7171476323963409,2.5881180918080395,21.437481801032252,55.32347690346795
United States,02-1993,69265,1548,6059,45069,02,1993,259918588,121941,26.64872894738871,0.5955711024407381,2.3311145411423984,17.339660216990715,46.91507480796256
United States,03-1993,88314,1925,7621,54735,03,1993,259918588,152595,33.97756223575668,0.7406165195080238,2.9320719455431945,21.058516984556718,58.70876768536462
United States,04-1993,87978,1749,7138,46609,04,1993,259918588,143474,33.84829098871528,0.6729030091530045,2.7462445279211813,17.932153432597133,55.1995919583866
United States,05-1993,94497,1801,7766,47462,05,1993,259918588,151526,36.35638402283103,0.6929092735760783,2.9878586444152275,18.260333116306402,58.29748505712873
United States,06-1993,98856,2108,8294,53595,06,1993,259918588,162853,38.03344761168062,0.8110231808430722,3.1909991754802856,20.61991811066625,62.655388078670235
United States,07-1993,100585,2115,8413,54708,07,1993,259918588,165821,38.69865590374783,0.8137163318231014,3.2367827421407815,21.04812911649089,63.79728409420261
United States,08-1993,96635,2100,8070,55367,08,1993,259918588,162172,37.17894927930279,0.8079452940087533,3.1048183441193515,21.301670044467922,62.39338296189882
United States,09-1993,91513,2021,7478,55705,09,1993,259918588,156717,35.20833223363002,0.7775511615198526,2.8770547183797412,21.431710763217904,60.29464887674751
United States,10-1993,88825,1902,6989,56109,10,1993,259918588,153825,34.17416225729881,0.7317675948593565,2.6889188856319888,21.587144048351018,59.18199278614118
United States,11-1993,77693,1856,6466,53279,11,1993,259918588,139294,29.891282727343842,0.714069745562022,2.48770203383838,20.498341580710647,53.591396087454896
United States,12-1993,95502,2413,7366,62337,12,1993,259918588,167618,36.74304355639236,0.9283676164014864,2.8339643026992745,23.983278948868406,64.48865442436153
United States,01-1994,75506,1803,6863,51678,01,1994,263125821,135850,28.69577744709441,0.6852235151790748,2.6082578949938937,19.64003373123917,51.629292588506544
United States,02-1994,73033,1648,6682,46066,02,1994,263125821,127429,27.755922897433926,0.6263163355602414,2.5394695110519008,17.50721378271728,48.42892252676335
United States,03-1994,86383,1920,7711,51535,03,1994,263125821,147549,32.82954127105603,0.7296889346332909,2.9305371744569304,19.585687107461794,56.07545448760805
United States,04-1994,88549,1778,7659,47799,04,1994,263125821,145785,33.65272160043921,0.6757223571760371,2.910774765810612,18.16583405548785,55.405052778913706
United States,05-1994,91549,1778,8085,47984,05,1994,263125821,149396,34.792860560803724,0.6757223571760371,3.0726744981823733,18.23614262471033,56.777400040872465
United States,06-1994,93523,1812,8557,47595,06,1994,263125821,151487,35.543071996723576,0.6886439320601683,3.252056361279724,18.088304606183062,57.57207689624653
United States,07-1994,98601,1966,8845,50654,07,1994,263125821,160066,37.47294721030058,0.7471710653588802,3.3615097014747177,19.250866299434747,60.83249427656892
United States,08-1994,97407,1984,8697,52537,08,1994,263125821,160625,37.0191719040755,0.7540118991210673,3.305262846096735,19.966493520223544,61.04494016951684
United States,09-1994,91980,1797,8044,49367,09,1994,263125821,151188,34.95666052477609,0.6829432372583457,3.057092599057392,18.76174668543837,57.4584430465302
United States,10-1994,90484,1852,7688,52172,10,1994,263125821,152196,34.38811122987432,0.7038457848650285,2.9217961090941356,19.827776613379193,57.84152973721268
United States,11-1994,79774,1711,6569,48499,11,1994,263125821,136553,30.317815141372996,0.6502592537278963,2.4965242768781706,18.431866479572903,51.89646515155196
United States,12-1994,91931,2136,7779,56044,12,1994,263125821,157890,34.938038255090134,0.8117789397795362,2.9563803242251927,21.299315964889665,60.00551348398453
United States,01-1995,76801,1677,6667,47661,01,1995,266278393,132806,28.84237024819359,0.6297919936748304,2.503770555653008,17.898936321130645,49.87486911865207
United States,02-1995,71425,1384,6154,40511,02,1995,266278393,119474,26.823430619096456,0.5197567795145888,2.311115044171083,15.213776658175941,44.86807910095807
United States,03-1995,82087,1549,7344,44848,03,1995,266278393,135828,30.82751066475003,0.581722002505851,2.7580157433201875,16.842523155831124,51.00977156640719
United States,04-1995,83825,1690,6935,41857,04,1995,266278393,134307,31.48021101359133,0.6346741021529299,2.604417099663058,15.719262659062238,50.438564874469556
United States,05-1995,88949,1601,7698,43428,05,1995,266278393,141676,33.40451284757453,0.6012504364182489,2.8909593126468955,16.30924669130026,53.205969287939936
United States,06-1995,88835,1650,7358,44284,06,1995,266278393,142127,33.361700511689655,0.6196522299126238,2.7632733986042948,16.630714757242806,53.37534089744939
United States,07-1995,93984,1777,8118,46649,07,1995,266278393,150528,35.29539101582305,0.6673466742755955,3.048688971170109,17.518882953450902,56.53030961471966
United States,08-1995,94072,1980,8599,49300,08,1995,266278393,153951,35.328439134751726,0.7435826758951486,3.229326984859789,18.514457536177183,57.815806331683845
United States,09-1995,89512,1716,7566,46577,09,1995,266278393,145371,33.615945699356836,0.6444383191091287,2.841387134253886,17.49184358341835,54.5936147361382
United States,10-1995,87081,1752,7530,51209,10,1995,266278393,147572,32.70299141395224,0.6579580041254042,2.8278674492376106,19.23137638884579,55.42019325616104
United States,11-1995,74788,1611,6685,47837,11,1995,266278393,130921,28.086394527700186,0.6050059044783255,2.5105303981611455,17.96503255898799,49.166963389327655
United States,12-1995,85220,1978,6896,52383,12,1995,266278393,146477,32.004098807972,0.7428315822831333,2.58977077422876,19.67226833909877,55.00896950358267
United States,01-1996,68115,1498,6282,44547,01,1996,269394284,120442,25.28450083966889,0.556062280816619,2.331898029432577,16.53598559648727,44.70844674640536
United States,02-1996,65026,1316,6163,38948,02,1996,269394284,111453,24.13785438743756,0.4885033121192727,2.2877248575920044,14.457619301232093,41.37170185838093
United States,03-1996,69807,1284,6343,39323,03,1996,269394284,116757,25.912576526679388,0.47662481212853053,2.3545414200399293,14.596820472998603,43.34056323184645
United States,04-1996,71060,1273,6440,36798,04,1996,269394284,115571,26.377694041941883,0.4725415777567129,2.390548123136867,13.6595325831041,42.90031632593956
United States,05-1996,77430,1413,7002,38365,05,1996,269394284,124210,28.742257946349,0.52451001521621,2.599164279224276,14.241207879525758,46.10714012031525
United States,06-1996,81643,1682,7037,42455,06,1996,269394284,132817,30.30613671075515,0.6243636557633866,2.6121563885891503,15.759428659592496,49.30208541470019
United States,07-1996,80796,1489,7452,40887,07,1996,269394284,130624,29.991727664125197,0.5527214526942227,2.7662056853440884,15.177382160046129,48.488036962209634
United States,08-1996,80373,1529,7182,41378,08,1996,269394284,130462,29.834708742372573,0.5675695776826505,2.665980841672201,15.359642894279078,48.4279020560065
United States,09-1996,74425,1374,6848,39607,09,1996,269394284,122254,27.62679255659337,0.5100330933524929,2.54199899801883,14.702242160416441,45.381066808381135
United States,10-1996,73453,1442,6628,41832,10,1996,269394284,123355,27.265983119374575,0.5352749058328201,2.460334310582477,15.528169112897732,45.78976144868761
United States,11-1996,64602,1367,5771,40511,11,1996,269394284,112251,23.980464262560226,0.507434671479518,2.1422132327054126,15.037809785154908,41.66792195190006
United States,12-1996,108687,2311,9148,59497,12,1996,269394284,179643,40.344954015431156,0.8578504212064127,3.395766184853425,22.085472310912134,66.68404293240312
United States,01-1997,61521,1323,5967,38854,01,1997,272646925,107665,22.564347644852404,0.48524295661871114,2.1885447635252073,14.250665031340443,39.488800396336764
United States,02-1997,57587,1105,5283,32105,02,1997,272646925,96080,21.121455890250733,0.4052860673194829,1.9376708539808398,11.77530243555837,35.23971524710942
United States,03-1997,68229,1293,6069,33727,03,1997,272646925,109318,25.024672477050675,0.4742397149720284,2.225955785123929,12.370211033922352,40.09507901106898
United States,04-1997,67057,1145,6175,32087,04,1997,272646925,106464,24.594812503386933,0.41995705618172663,2.264833905608875,11.76870049057036,39.04830395574789
United States,05-1997,75977,1213,6844,34878,05,1997,272646925,118912,27.866443019667287,0.44489773724754095,2.510206194329901,12.792368738433415,43.613915689678144
United States,06-1997,80527,1490,7775,37905,06,1997,272646925,127697,29.53526800274751,0.5464943351185788,2.851673460098624,13.902595820583707,46.836031618548425
United States,07-1997,77320,1370,7274,36190,07,1997,272646925,122154,28.359021470717117,0.5024813685318475,2.6679193245990214,13.27357717311501,44.802999336963
United States,08-1997,75936,1311,6987,37077,08,1997,272646925,121311,27.851405256083485,0.480841659960038,2.5626549795124225,13.598906351135263,44.49380824669121
United States,09-1997,71039,1242,6541,35857,09,1997,272646925,114679,26.055309444623298,0.4555342041726676,2.399073453698405,13.151441190836831,42.061358293331196
United States,10-1997,67726,1290,6116,36920,10,1997,272646925,112052,24.840184792107962,0.47313939080736006,2.2431941970370657,13.541322719850957,41.09784109980335
United States,11-1997,60508,1203,5467,34101,11,1997,272646925,101279,22.19280485191608,0.44122999003198,2.005157402747161,12.507384779784331,37.146577024479555
United States,12-1997,177623,2945,14712,88261,12,1997,272646925,283541,65.14762636695792,1.0801515549826943,5.395989703533242,32.37190369926233,103.9956713247362
United States,01-1998,62807,1310,5707,36497,01,1998,275854104,106321,22.768194886090946,0.4748887114617661,2.0688472338261823,13.230544505511507,38.542475336890405
United States,02-1998,55854,1028,5393,29096,02,1998,275854104,91371,20.24765961067594,0.37266075983411867,1.9550189472620643,10.547604540985912,33.122943858758035
United States,03-1998,64431,1198,6278,30675,03,1998,275854104,102582,23.35691188411683,0.4342875391841189,2.2758407103488296,11.120008568007384,37.18704870165716
United States,04-1998,65787,1114,5962,29276,04,1998,275854104,102139,23.84847607704977,0.40383665997588347,2.161287402851183,10.61285642500356,37.0264565648804
United States,05-1998,72759,1204,6459,30410,05,1998,275854104,110832,26.37589905133331,0.4364626019847071,2.341455104833242,11.023943294314737,40.177760052466
United States,06-1998,72183,1283,6558,30573,06,1998,275854104,110597,26.16709302247684,0.46510092885911897,2.377343641042948,11.083032500397383,40.092570092776285
United States,07-1998,74517,1246,6960,32534,07,1998,275854104,115257,27.013192451905663,0.45168804158882475,2.52307284868236,11.793915525722975,41.781868867899824
United States,08-1998,74313,1305,6741,33385,08,1998,275854104,115744,26.939240316685662,0.4730761591279425,2.443683056460889,12.10241193293974,41.95841146521423
United States,09-1998,68741,1180,6369,32373,09,1998,275854104,108663,24.91933199587272,0.42776235078235414,2.308829162824418,11.735551340573856,39.39147485005334
United States,10-1998,65336,1181,5739,34134,10,1998,275854104,106390,23.68498385653889,0.42812486124911886,2.080447568762653,12.373932272546504,38.567488559097164
United States,11-1998,58453,1096,5523,31832,11,1998,275854104,96904,21.189824313797413,0.3973114715741188,2.0021453079414764,11.53943317805415,35.12871427136716
United States,12-1998,174517,2618,15344,78211,12,1998,275854104,270690,63.26423912837635,0.9490524019900026,5.562360602037662,28.352306116134493,98.1279582485385
United States,01-1999,58477,1158,5686,31178,01,1999,279040168,96499,20.956481075513114,0.4149940162019971,2.0376994612474575,11.173301759193322,34.58247631215589
United States,02-1999,52192,929,5141,25511,02,1999,279040168,83773,18.70411717928725,0.33292697845566094,1.8423870788380547,9.142411353479403,30.021842590060366
United States,03-1999,59097,993,5825,26663,03,1999,279040168,92578,21.1786713087128,0.3558627444633706,2.087513078045452,9.555255141618177,33.177302272839796
United States,04-1999,61566,1011,5736,26626,04,1999,279040168,94939,22.063490156728978,0.36231342865303895,2.0556180284409806,9.54199540189497,34.02341701571797
United States,05-1999,67426,1095,6000,28118,05,1999,279040168,102639,24.163546231809896,0.39241662153815793,2.150228063222783,10.076685446949702,36.782876363520536
United States,06-1999,64942,1054,6192,28043,06,1999,279040168,100231,23.273351813635664,0.3777233964394689,2.219035361245912,10.049807596159418,35.91991816748046
United States,07-1999,70418,1195,6699,30430,07,1999,279040168,108742,25.235793292670323,0.42825375592520426,2.4007296325882375,10.905239993978215,38.97001667516198
United States,08-1999,68093,1185,6653,30591,08,1999,279040168,106522,24.402579918171494,0.42467004248649964,2.384244550770196,10.96293778034136,38.17443229176955
United States,09-1999,63086,1148,5825,28720,09,1999,279040168,98779,22.608214599412083,0.41141030276329255,2.087513078045452,10.292424995959722,35.39956297618055
United States,10-1999,63097,1095,5756,30652,10,1999,279040168,100600,22.612156684194655,0.39241662153815793,2.06278545531839,10.984798432317458,36.052157193368664
United States,11-1999,56758,1074,5432,29936,11,1999,279040168,93200,20.340440735399785,0.3848908233168782,1.9466731399043598,10.728204550106206,33.40020924872723
United States,12-1999,161407,2423,14097,71869,12,1999,279040168,249796,57.843643500099965,0.8683337661981338,5.051960834541929,25.755790112626368,89.51972821346638
United States,01-2000,56959,1128,5739,30538,01,2000,282162411,94364,20.18660097145257,0.3997697623869538,2.033934987888943,10.822844861500705,33.443150583229176
United States,02-2000,54438,988,5407,25429,02,2000,282162411,86262,19.293143904983147,0.3501529479063035,1.9162722564062582,9.012185538774688,30.5717546480704
United States,03-2000,62828,1022,6176,27522,03,2000,282162411,97548,22.266608715644974,0.36220274570874716,2.188810330232116,9.75395691526041,34.57157870684625
United States,04-2000,63523,1027,5788,26725,04,2000,282162411,97063,22.512920758959634,0.3639747747973418,2.051300872957171,9.471495478538422,34.39969188525257
United States,05-2000,69954,1136,6554,28826,05,2000,282162411,106470,24.792104572710077,0.40260500892870527,2.3227757293298716,10.216102101565895,37.73358741253455
United States,06-2000,83005,1382,7953,35780,06,2000,282162411,128120,29.417454899759843,0.4897888400875622,2.8185894683186556,12.680640157983339,45.4064733661494
United States,07-2000,71762,1249,6821,30965,07,2000,282162411,110797,25.432870291145903,0.4426528663309444,2.4174020826608262,10.97417614566669,39.26710138580436
United States,08-2000,68631,1256,6664,31709,08,2000,282162411,108260,24.32322567586793,0.44513370705497696,2.361760369278954,11.237854074049572,38.36797382625143
United States,09-2000,65110,1145,6199,30328,09,2000,282162411,102782,23.075362791679574,0.4057946612881756,2.196961664039651,10.74841963977973,36.42653875678713
United States,10-2000,64112,1174,5983,32251,10,2000,282162411,103520,22.721665785596084,0.4160724300020246,2.1204100074123624,11.429942027253233,36.688090250263706
United States,11-2000,54839,1026,5300,30787,11,2000,282162411,91952,19.43526063788844,0.3636203689796229,1.8783508339103328,10.911091910112718,32.588323750891114
United States,12-2000,143636,2195,12629,63780,12,2000,282162411,222240,50.905434033876325,0.7779207698930528,4.475791071972376,22.6040030541134,78.76314892985515
United States,01-2001,56365,1116,5712,30583,01,2001,284968955,93776,19.77934754331397,0.39162160664132695,2.0044288684007703,10.73204623289579,32.90744425125186
United States,02-2001,50725,878,5254,24134,02,2001,284968955,80991,17.800184585019096,0.3081037371246282,1.8437096068938454,8.468992701327764,28.42099063036533
United States,03-2001,61147,1018,6308,28182,03,2001,284968955,96655,21.45742507284697,0.35723189566386276,2.2135744576106546,9.889498313947918,33.917729740069404
United States,04-2001,64005,1113,6136,27405,04,2001,284968955,98659,22.46034133788363,0.3905688603869148,2.1532170056910234,9.616837034055166,34.62096423801673
United States,05-2001,67656,1167,6516,29806,05,2001,284968955,105145,23.74153352950324,0.4095182929663338,2.2865648645832315,10.459384953003038,36.89700164005584
United States,06-2001,83209,1422,7810,38096,06,2001,284968955,130537,29.199321027794063,0.4990017245913682,2.740649415653014,13.368473769362,45.807445937400445
United States,07-2001,71706,1322,7184,32104,07,2001,284968955,112316,25.162740972959668,0.46391018277762924,2.520976363899008,11.26578858388276,39.41341610351906
